series_id,period_end,fiscal_year,fiscal_quarter,segment,geography,product_line,value,units,basis,source,notes
de_currency_effect_guidance_pct_cf,2026-11-01,2026,fy,CF,,,+2.0,pct_of_fy_net_sales,segment-net-sales,filings/2026-05-21__de-us-20260521-q2-8k__1042167.md:186-188,"Deere's own FY2026 currency-translation guidance, set 2026-05-21 on then-current spot rates"
de_currency_effect_guidance_pct_ppa,2026-11-01,2026,fy,PPA,,,+3.0,pct_of_fy_net_sales,segment-net-sales,filings/2026-05-21__de-us-20260521-q2-8k__1042167.md:186-188,"Deere's own FY2026 currency-translation guidance, set 2026-05-21 on then-current spot rates"
de_currency_effect_guidance_pct_sat,2026-11-01,2026,fy,SAT,,,+1.0,pct_of_fy_net_sales,segment-net-sales,filings/2026-05-21__de-us-20260521-q2-8k__1042167.md:186-188,"Deere's own FY2026 currency-translation guidance, set 2026-05-21 on then-current spot rates"
de_currency_effect_implied_fy_pct_cf,2026-11-01,2026,fy,CF,,,+1.63,pct_of_fy_net_sales,segment-net-sales,Q1 and Q2 as disclosed + Q3 estimate + Q4 spot-freeze scenario,source_type=inference; compare with Deere's +2.0% FY2026 guidance -- the gap is the revenue risk the currency line carries into H2
de_currency_effect_implied_fy_pct_ppa,2026-11-01,2026,fy,PPA,,,+2.28,pct_of_fy_net_sales,segment-net-sales,Q1 and Q2 as disclosed + Q3 estimate + Q4 spot-freeze scenario,source_type=inference; compare with Deere's +3.0% FY2026 guidance -- the gap is the revenue risk the currency line carries into H2
de_currency_effect_implied_fy_pct_sat,2026-11-01,2026,fy,SAT,,,+0.94,pct_of_fy_net_sales,segment-net-sales,Q1 and Q2 as disclosed + Q3 estimate + Q4 spot-freeze scenario,source_type=inference; compare with Deere's +1.0% FY2026 guidance -- the gap is the revenue risk the currency line carries into H2
de_currency_effect_opprofit_usdm_cf,2021-05-02,2021,q2,CF,,,14,USDm,operating-profit-bridge,2021-05-21__de-us-20210521-slide__46479.md:447,"earnings-deck waterfall; effect on OPERATING PROFIT, NOT on net sales; accepted only because the full bridge reconciles (parallel-list convention)"
de_currency_effect_opprofit_usdm_cf,2021-10-31,2021,q4,CF,,,-1,USDm,operating-profit-bridge,2021-11-24__de-us-20211124-slide__46437.md:515,"earnings-deck waterfall; effect on OPERATING PROFIT, NOT on net sales; accepted only because the full bridge reconciles (value-after-label convention)"
de_currency_effect_opprofit_usdm_cf,2022-01-30,2022,q1,CF,,,-4,USDm,operating-profit-bridge,2022-02-18__de-us-20220218-slide__46449.md:519,"earnings-deck waterfall; effect on OPERATING PROFIT, NOT on net sales; accepted only because the full bridge reconciles (parallel-list convention)"
de_currency_effect_opprofit_usdm_cf,2022-10-30,2022,q4,CF,,,25,USDm,operating-profit-bridge,2022-11-23__de-us-20221123-slide__46423.md:640,"earnings-deck waterfall; effect on OPERATING PROFIT, NOT on net sales; accepted only because the full bridge reconciles (parallel-list convention)"
de_currency_effect_opprofit_usdm_cf,2023-01-29,2023,q1,CF,,,27,USDm,operating-profit-bridge,2023-02-17__de-us-20230217-slide__46447.md:120,"earnings-deck waterfall; effect on OPERATING PROFIT, NOT on net sales; accepted only because the full bridge reconciles (value-after-label convention)"
de_currency_effect_opprofit_usdm_cf,2023-07-30,2023,q3,CF,,,-17,USDm,operating-profit-bridge,2023-08-18__de-us-20230818-slide__46427.md:123,"earnings-deck waterfall; effect on OPERATING PROFIT, NOT on net sales; accepted only because the full bridge reconciles (value-after-label convention)"
de_currency_effect_opprofit_usdm_cf,2024-07-28,2024,q3,CF,,,25,USDm,operating-profit-bridge,2024-08-15__de-us-20240815-slide__46457.md:103,"earnings-deck waterfall; effect on OPERATING PROFIT, NOT on net sales; accepted only because the full bridge reconciles (value-after-label convention)"
de_currency_effect_opprofit_usdm_cf,2024-10-27,2024,q4,CF,,,12,USDm,operating-profit-bridge,2024-11-21__de-us-20241121-slide__46477.md:129,"earnings-deck waterfall; effect on OPERATING PROFIT, NOT on net sales; accepted only because the full bridge reconciles (value-after-label convention)"
de_currency_effect_opprofit_usdm_cf,2025-01-26,2025,q1,CF,,,-8,USDm,operating-profit-bridge,2025-02-13__de-us-20250213-slide__46456.md:148,"earnings-deck waterfall; effect on OPERATING PROFIT, NOT on net sales; accepted only because the full bridge reconciles (value-before-label convention)"
