series_id,period_end,fiscal_year,fiscal_quarter,value,units,source_type,source,notes
de_guidance_fy_adjusted_net_income_mid,2018-10-28,2018,Q1,2850,USDm,filing,filings/2018-02-16__de-us-20180216-q1-8k__784666.md,"guidance_issued=2018-02-16; guidance_vintage=FY2018 Q1 earnings release; vintage_seq=1; guides FY2018 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; non-GAAP adjusted net income excluding US tax-reform provisional items; not comparable to the GAAP series"
de_guidance_fy_adjusted_net_income_mid,2018-10-28,2018,Q3,3100,USDm,filing,filings/2018-08-17__de-us-20180817-q3-8k__784667.md,"guidance_issued=2018-08-17; guidance_vintage=FY2018 Q3 earnings release; vintage_seq=3; guides FY2018 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; non-GAAP adjusted net income excluding US tax-reform provisional items; not comparable to the GAAP series"
de_guidance_fy_financial_services_net_income,2012-10-31,2012,Q2,465,USDm,filing,call-transcripts/2012-05-16__de-us-20120516-call-pres__1534116.md,"guidance_issued=2012-05-16; guidance_vintage=FY2012 Q2 earnings release; vintage_seq=2; guides FY2012 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2012-10-31,2012,Q3,450,USDm,filing,call-transcripts/2012-08-15__de-us-20120815-call-pres__1533564.md,"guidance_issued=2012-08-15; guidance_vintage=FY2012 Q3 earnings release; vintage_seq=3; guides FY2012 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2013-10-31,2013,Q4,500,USDm,filing,call-transcripts/2012-11-21__de-us-20121121-call-pres__1532984.md,"guidance_issued=2012-11-21; guidance_vintage=FY2012 Q4 earnings release; vintage_seq=0; guides FY2013 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2013 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2015-11-01,2015,Q1,630,USDm,filing,filings/2015-02-20__de-us-20150220-q1-8k__784661.md,"guidance_issued=2015-02-20; guidance_vintage=FY2015 Q1 earnings release; vintage_seq=1; guides FY2015 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2015-11-01,2015,Q2,630,USDm,filing,filings/2015-05-22__de-us-20150522-q2-8k__784603.md,"guidance_issued=2015-05-22; guidance_vintage=FY2015 Q2 earnings release; vintage_seq=2; guides FY2015 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2015-11-01,2015,Q3,630,USDm,filing,filings/2015-08-21__de-us-20150821-q3-8k__784604.md,"guidance_issued=2015-08-21; guidance_vintage=FY2015 Q3 earnings release; vintage_seq=3; guides FY2015 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2016-10-30,2016,Q4,550,USDm,filing,filings/2015-11-25__de-us-20151125-q4-8k__784605.md,"guidance_issued=2015-11-25; guidance_vintage=FY2015 Q4 earnings release; vintage_seq=0; guides FY2016 (period_end column); INITIAL guidance for the year -- issued with the PRIOR fiscal year's Q4/full-year results, i.e. before FY2016 began; the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2016-10-30,2016,Q1,525,USDm,filing,filings/2016-02-19__de-us-20160219-q1-8k__784606.md,"guidance_issued=2016-02-19; guidance_vintage=FY2016 Q1 earnings release; vintage_seq=1; guides FY2016 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
de_guidance_fy_financial_services_net_income,2016-10-30,2016,Q2,480,USDm,filing,filings/2016-05-20__de-us-20160520-q2-8k__784653.md,"guidance_issued=2016-05-20; guidance_vintage=FY2016 Q2 earnings release; vintage_seq=2; guides FY2016 (period_end column); the fiscal_quarter column on guidance rows is the VINTAGE quarter (which release the guidance came from), NOT a quarter of the guided period; net income attributable to Deere & Co for the financial services segment"
