series_id,period_end,fiscal_year,fiscal_quarter,segment,component,value,units,source,notes
de_q2call_covers_next_q3_flag,2013-05-15,2013,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2013-05-15__de-us-20130515-call-qna__1530347.md,"""The order book does remain pretty strong... As you look at the tractor, certainly the order book on eights and nines are further out."""
de_order_coverage_months,2014-05-14,2014,2,PPA_large_ag_NA,forward_order_coverage,5.0,months,call-transcripts/2014-05-14__de-us-20140514-call-qna__1526780.md,"""Our order book, we often talk about where we're at from an availability perspective, and we would tell you on 8Rs, our order availability is into October."" | derivation: 'into October' from 2014-05-14 = ~5.0 months forward; FY2014 ended 2014-11-02, so book covers all of Q3 and most of Q4"
de_q2call_covers_next_q3_flag,2014-05-14,2014,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2014-05-14__de-us-20140514-call-qna__1526780.md,"""Our order book, we often talk about where we're at from an availability perspective, and we would tell you on 8Rs, our order availability is into October."""
de_q2call_covers_next_q3_flag,2015-05-22,2015,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2015-05-22__de-us-20150522-call-qna__1521782.md,"""Certainly combines at this point in the year with the early order program, we're well over 90% covered, and the bigger question tends to be things like large tractors."""
de_q2call_covers_next_q3_flag,2017-05-19,2017,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2017-05-19__de-us-20170519-call-qna__1479659.md,"""We talked about in the first quarter, our order books are really quite strong, and they continued to be strong through the second quarter... That order book actually has strengthened pretty significantly over the quarter."""
de_order_coverage_months,2018-05-18,2018,2,PPA_large_ag_NA,forward_order_coverage,5.0,months,call-transcripts/2018-05-18__de-us-20180518-call-pres-2__1475345.md,"""Similarly, our large tractor order book now extends into October."" | derivation: 'into October' from 2018-05-18 = ~4.9 months; FY2018 ended 2018-10-28"
de_q2call_covers_next_q3_flag,2018-05-18,2018,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2018-05-18__de-us-20180518-call-pres-2__1475345.md,"""Similarly, our large tractor order book now extends into October."""
de_order_coverage_months,2019-05-17,2019,2,PPA_large_ag_NA,forward_order_coverage,3.0,months,call-transcripts/2019-05-17__de-us-20190517-call-pres-2__1392890.md,"""With order books extending into the fourth quarter, the division is on track for a solid finish to the year."" | derivation: 'into the fourth quarter'; FY2019 Q4 began ~2019-07-29, so >=2.4 months forward and all of Q3 covered"
de_q2call_covers_next_q3_flag,2019-05-17,2019,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2019-05-17__de-us-20190517-call-pres-2__1392890.md,"""With order books extending into the fourth quarter, the division is on track for a solid finish to the year."""
de_order_coverage_months,2020-05-21,2020,2,PPA_large_ag_NA,forward_order_coverage,3.0,months,call-transcripts/2020-05-21__de-us-20200521-call-pres-2__1143269.md,"""Specifically, order programs for combines and crop care are completed, while large tractor order books extend into the fourth quarter, roughly 90% full."" | derivation: COVID year; same call: 'the remainder of our 2020 production schedule is largely backed by customer orders through either our early order programs or rolling order books'"
de_q2call_covers_next_q3_flag,2020-05-21,2020,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2020-05-21__de-us-20200521-call-pres-2__1143269.md,"""Specifically, order programs for combines and crop care are completed, while large tractor order books extend into the fourth quarter, roughly 90% full."""
de_order_coverage_months,2021-05-21,2021,2,PPA_large_ag_NA,forward_order_coverage,5.3,months,call-transcripts/2021-05-21__de-us-20210521-call-pres__46476.md,"""Given the positive environmental backdrop, order activity is up significantly and all of our Large Ag order banks are now complete through the end of the fiscal year."" | derivation: 'complete through the end of the fiscal year' from 2021-05-21; FY2021 ended 2021-10-31 = 5.3 months. 4WD/8R already taking FY2022 orders with visibility through H1 FY22"
de_q2call_covers_next_q3_flag,2021-05-21,2021,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2021-05-21__de-us-20210521-call-pres__46476.md,"""Given the positive environmental backdrop, order activity is up significantly and all of our Large Ag order banks are now complete through the end of the fiscal year."""
de_order_coverage_months,2022-05-20,2022,2,PPA_large_ag_NA,forward_order_coverage,5.4,months,call-transcripts/2022-05-20__de-us-20220520-call-pres__46444.md,"""At this time, our order book extends through the duration of fiscal 2022 and even into early fiscal 2023 for some product lines."" | derivation: FY2022 ended 2022-10-30 = 5.4 months; some lines beyond"
de_q2call_covers_next_q3_flag,2022-05-20,2022,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2022-05-20__de-us-20220520-call-pres__46444.md,"""At this time, our order book extends through the duration of fiscal 2022 and even into early fiscal 2023 for some product lines."""
de_order_coverage_months,2023-05-19,2023,2,PPA_large_ag_NA,forward_order_coverage,5.4,months,call-transcripts/2023-05-19__de-us-20230519-call-pres__46451.md,"""As we look ahead to the rest of 2023, we see robust demand with our order books providing excellent visibility through the end of the year."" | derivation: FY2023 ended 2023-10-29 = 5.4 months"
de_q2call_covers_next_q3_flag,2023-05-19,2023,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2023-05-19__de-us-20230519-call-pres__46451.md,"""As we look ahead to the rest of 2023, we see robust demand with our order books providing excellent visibility through the end of the year."""
de_q2call_covers_next_q3_flag,2024-05-16,2024,2,PPA_large_ag_NA,q3_covered_by_order_book,1,flag_1_yes,call-transcripts/2024-05-16__de-us-20240516-call-pres__46458.md,"""Demand shifts, coupled with proactive inventory management, are reflected in our production schedules for the balance of the fiscal year, with many product lines anticipating retail demand under production to close out 2024."""
